source,target
@ericchurch,@zanelowe
@jiminpark07,@kpopggsuperior
@drake,@spotifykr
@spotifykr,@rbw_mamamoo
@spotifykdaebak,@rbw_mamamoo
@mcountdown_2021415,@5redvelvet
@leehi,@spotifykr
@leehi_hi,@spotifykr
@,@stray_kids
@konnect_danielk,@spotifykr
@musicbank,@rbw_mamamoo
@youngthug,@zanelowe
@1gunnagunna,@zanelowe
@showmusiccore,@5redvelvet
@queenwillrock,@spotifykr
@polaris_lc,@kpopggsuperior
@heize_official,@kpopggsuperior
@apink_2011s,@kpopggsuperior
@sjofficial,@spotifykr
@1,@stray_kids
@kellyclarksontv,@jypetwice
@8_ohmygirls,@kpopggsuperior
@spotifykr,@rvsmtown
@spotifykdaebak,@rvsmtown
@hf_dreamcatcher,@kpopggsuperior
@spotify,@niziu__official
@miyaohyeah,@kpopggsuperior
@nuestnews,@spotifykr
@lottedfs_global,@bts_army
@esquirekr,@pledis_17
@day6official,@spotifykr
@ubt_yukika,@spotifykr
@itsmoonsujin,@spotifykr
@lilyachty,@zanelowe
@g_i_dles,@kpopggsuperior
@show,@rbw_mamamoo
@officiallaboum,@kpopggsuperior
@official_yoon,@yginnercircle
